Päätösnumero;Päätöspäivä;Nimi;Diaarinumero;Piirustusnumerot;Linkki
2012-4;13.1.2012;Koskelantien liikenteen ohjaussuunnitelma välillä Lahdenväylä Hämeentie;HEL 2011-006567;6061-44;
2012-3;13.1.2012;Pysäköintijärjestelyt Iltatähdenkujalla;HEL 2011-007979;Iltatähdenkuja;
2012-5;13.1.2012;CD-paikkojen merkitseminen Itäinen Teatterikuja 1 edustalle;HEL 2011-010165;Itäinen Teatterikuja ;
2012-2;13.1.2012;Linja-auton pysäkkijärjestelyt Aurinkotuulenkatu 3 edustalla;HEL 2011-010843;Aurinkotuulenkatu;
2012-6;13.1.2012;Ajorajoituksen poistaminen Hämeentien pohjoisosasta;HEL 2012-000048;Hämeentie;
2012-10;27.1.2012;CD-paikkojen merkitseminen Pohjoinen Makasiinikatu 4 edustalle;HEL 2012-000303;Pohjoinen Makasiinikatu;
2012-12;27.1.2012;Pysäköintijärjestelyt Umpiaidanpolull;HEL 2012-001149;6063-4;
2012-11;27.1.2012;Muonamiehentien pysäköintijärjestelyt;;;
2012-16;10.2.2012;Matkailuliikenteen pysäkki Töölönlahdenkatu 1 edustalle;HEL 2012-000334;6062-4;
2012-17;10.2.2012;Ajomiehentien liikenteen ohjaussuunnitelma;HEL 2012-001871;6064-3;
2012-21;24.2.2012;Pyhän Laurin tien länsipuolella sijaitsevan kääntöpaikan liikenteen ohjaussuunnitelma;HEL 2012-002180;6066-4;
2012-28;9.3.2012;Huoltoliikennejärjestelyt Kuusisaarentie 38 edustalla;HEL 2012-002668;6067-4;
2012-26;9.3.2012;CD-paikkojen merkitseminen Kasarmikatu 44 edustalle ja asukaspysäköintipaikkojen lisääminen Myllytie 2 edustalle;HEL 2012-003002;Kasarmikatu, Myllytie;
2012-25;9.3.2012;Pysäköinnin kieltäminen Katajaharjuntie 18 edustalla;HEL 2012-003518;Katajaharjuntie;
2012-29;9.3.2012;Ulvilantien pysäkki- ja pysäköintijärjestelyt;HEL 2012-003598;Ulvilantie;
2012-27;9.3.2012;Kiinteistölle ajon salliminen Kuunaripuistossa;;;
2012-33;16.3.2012;Matkailuliikenteen tilapäiset pysäkkijärjestelyt Senaatintorin eteläreunalla;HEL 2012-003061;Senaatintori matkailuliikenne ;
