wkt_geom;fid;piirustusnumero;decision_id;diaari
MultiPolygon (((25493824.78882655128836632 6679773.23991886992007494, 25493870.36547087877988815 6679749.80050178710371256, 25493859.07982561737298965 6679719.85013551358133554, 25493889.03019189089536667 6679667.32847871538251638, 25494149.03409620374441147 6679636.50998588372021914, 25494168.13288049399852753 6679634.33966948743909597, 25494182.45696870982646942 6679623.92215078324079514, 25494179.85258903354406357 6679602.65305009670555592, 25494144.2594001293182373 6679581.3839494101703167, 25493987.56255629286170006 6679594.40584778971970081, 25493864.7226482480764389 6679611.33431568369269371, 25493807.42629537731409073 6679696.84478170983493328, 25493824.78882655128836632 6679773.23991886992007494)));1;6593;2016-75;HEL 2016-006629
MultiPolygon (((25494009.69846608117222786 6679646.77253891993314028, 25494009.20903124287724495 6679643.68236897606402636, 25494007.78863602504134178 6679640.89468639716506004, 25494005.57631860300898552 6679638.68236897606402636, 25494002.78863602504134178 6679637.26197375729680061, 25493999.69846608117222786 6679636.77253891993314028, 25493996.60829613730311394 6679637.26197375729680061, 25493993.8206135593354702 6679638.68236897606402636, 25493991.60829613730311394 6679640.89468639716506004, 25493990.18790091946721077 6679643.68236897606402636, 25493989.69846608117222786 6679646.77253891993314028, 25493990.18790091946721077 6679649.8627088638022542, 25493991.60829613730311394 6679652.65039144270122051, 25493993.8206135593354702 6679654.8627088638022542, 25493996.60829613730311394 6679656.28310408256947994, 25493999.69846608117222786 6679656.77253891993314028, 25494002.78863602504134178 6679656.28310408256947994, 25494005.57631860300898552 6679654.8627088638022542, 25494007.78863602504134178 6679652.65039144270122051, 25494009.20903124287724495 6679649.8627088638022542, 25494009.69846608117222786 6679646.77253891993314028)));2;0;2014-182;HEL 2014-013446
MultiPolygon (((25498948.69687499850988388 6682500.95729166548699141, 25498952.79791666567325592 6682476.4833333333954215, 25498985.09001784771680832 6682480.09611200913786888, 25498996.71875 6682505.85208333376795053, 25498948.69687499850988388 6682500.95729166548699141)));3;0;2023-44;HEL 2022-013717
MultiPolygon (((25507558.09217290952801704 6679053.06231738161295652, 25507562.07619485259056091 6679046.09027898591011763, 25507554.35715234279632568 6679023.92915694043040276, 25507544.64609885960817337 6679023.182152827270329, 25507520.49296584725379944 6679034.88521727733314037, 25507514.26793156564235687 6679020.69213911425322294, 25507486.8777807205915451 6679032.89320630766451359, 25507483.88976426795125008 6679027.16617476753890514, 25507471.43969570100307465 6679032.64420493599027395, 25507479.40773958340287209 6679053.06231738161295652, 25507492.35581089183688164 6679047.33528584241867065, 25507490.61280129104852676 6679041.60825430229306221, 25507507.04689179733395576 6679034.13821316417306662, 25507522.98297955840826035 6679069.74540925864130259, 25507484.63676838204264641 6679087.1755052488297224, 25507475.67271901294589043 6679112.07564237806946039, 25507471.43969570100307465 6679113.56965060532093048, 25507476.41972312703728676 6679126.26872054114937782, 25507483.14276015385985374 6679123.28070408571511507, 25507493.10281500592827797 6679094.1475436445325613, 25507496.090831458568573 6679090.91052581835538149, 25507497.83384105935692787 6679089.66551896184682846, 25507541.90708377584815025 6679071.23941748589277267, 25507538.91906732320785522 6679059.5363530358299613, 25507554.6061537116765976 6679052.06631189677864313, 25507558.09217290952801704 6679053.06231738161295652)));4;6074;2012-46;HEL 2012-005202
MultiPolygon (((25491410.86568120494484901 6680216.40466716233640909, 25491368.11852139234542847 6680261.6902716476470232, 25491364.17064256966114044 6680361.20492642279714346, 25491422.60239915549755096 6680417.57574354857206345, 25491458.85431782528758049 6680378.55135330278426409, 25491494.77391863241791725 6680304.4491808395832777, 25491490.38576311618089676 6680280.99992200173437595, 25491410.86568120494484901 6680216.40466716233640909)));5;6501;2015-152;HEL 2015-011615
MultiPolygon (((25497278.95198844745755196 6673171.52904888801276684, 25497270.32941681891679764 6673171.26783135440200567, 25497269.6114531047642231 6673189.30722834914922714, 25497401.95922375097870827 6673194.83128238841891289, 25497401.26891410350799561 6673209.12783508468419313, 25497408.00053686648607254 6673209.54602147173136473, 25497408.51741991564631462 6673193.42960535455495119, 25497417.26631052419543266 6673193.29456122405827045, 25497419.50091215595602989 6673168.58532546181231737, 25497407.57846428081393242 6673167.82405081298202276, 25497407.01268607005476952 6673175.17997687961906195, 25497400.90091980248689651 6673175.05197879485785961, 25497399.56342355906963348 6673187.12843646388500929, 25497278.43728238716721535 6673181.91576274298131466, 25497278.95198844745755196 6673171.52904888801276684)));6;7698;2024-102;HEL 2024-011280
MultiPolygon (((25493247.69351479038596153 6680755.51515458337962627, 25493241.27007290720939636 6680745.13882538583129644, 25493304.35156628489494324 6680704.73153284750878811, 25493311.59852635860443115 6680714.83335598185658455, 25493247.69351479038596153 6680755.51515458337962627)));7;7367;2022-99;HEL 2022-014500
MultiPolygon (((25495481.18697917088866234 6671530.05052083358168602, 25495482.17916667088866234 6671520.72395833395421505, 25495492.43177083507180214 6671521.7822916666045785, 25495491.67109375074505806 6671531.00963541679084301, 25495481.18697917088866234 6671530.05052083358168602)));8;0;2020-64;HEL 2020-000707
MultiPolygon (((25496488.67214125767350197 6672876.14149272907525301, 25496488.18270641937851906 6672873.05132278520613909, 25496486.76231120154261589 6672870.26364020630717278, 25496484.54999377951025963 6672868.05132278520613909, 25496481.76231120154261589 6672866.63092756643891335, 25496478.67214125767350197 6672866.14149272907525301, 25496475.58197131380438805 6672866.63092756643891335, 25496472.79428873583674431 6672868.05132278520613909, 25496470.58197131380438805 6672870.26364020630717278, 25496469.16157609596848488 6672873.05132278520613909, 25496468.67214125767350197 6672876.14149272907525301, 25496469.16157609596848488 6672879.23166267294436693, 25496470.58197131380438805 6672882.01934525184333324, 25496472.79428873583674431 6672884.23166267294436693, 25496475.58197131380438805 6672885.65205789171159267, 25496478.67214125767350197 6672886.14149272907525301, 25496481.76231120154261589 6672885.65205789171159267, 25496484.54999377951025963 6672884.23166267294436693, 25496486.76231120154261589 6672882.01934525184333324, 25496488.18270641937851906 6672879.23166267294436693, 25496488.67214125767350197 6672876.14149272907525301)));9;0;2015-140;HEL 2015-011230
MultiPolygon (((25497412.57343749701976776 6672891.94843749981373549, 25497412.97031249850988388 6672881.76197916641831398, 25497431.49114583060145378 6672882.68802083283662796, 25497430.5651041641831398 6672892.87447916623204947, 25497412.57343749701976776 6672891.94843749981373549)));10;0;2013-159;HEL 2013-013581
