code,description,icon,value,unit,size,legacy_code,legacy_description,type,target_model
1,Kiinteä punainen valo ,,,,,,,,traffic_light
10,Jalankulkijaopastin ,,,,,,,,traffic_light
11,Ajokaistaopastin ,,,,,,,,traffic_light
2,Kiinteä vihreä valo ,,,,,,,,traffic_light
3,Kiinteä keltainen valo ,,,,,,,,traffic_light
4,Nuolivalo ,,,,,,,,traffic_light
5,Vilkkuva punainen valo ,,,,,,,,traffic_light
6,Vilkkuva valkoinen valo ,,,,,,,,traffic_light
7,Vilkkuva keltainen valo ,,,,,,,,traffic_light
8,Joukkoliikenneopastin ,,,,,,,,traffic_light
9,Polkupyöräopastin,,,,,,,,traffic_light
A10,Töyssyjä,A10.svg,,,,,Töyssyjä,,traffic_sign
A1.1,Mutka oikealle,A1.1.svg,,,,111,Mutka oikealle,,traffic_sign
A11,Tietyö,A11.svg,,,,142,Tietyö,,traffic_sign
A1.2,Mutka vasemmalle,A1.2.svg,,,,112,Mutka vasemmalle,,traffic_sign
A12,Irtokiviä,A12.svg,,,,143,Irtokiviä,,traffic_sign
A13,Liukas ajorata,A13.svg,,,,144,Liukas ajorata,,traffic_sign
A14,Vaarallinen tien reuna,A14.svg,,,,147,Vaarallinen tien reuna,,traffic_sign
A15,Suojatien ennakkovaroitus,A15.svg,,,,151,Suojatien ennakkovaroitus,,traffic_sign
A16,Jalankulkijoita,A16.svg,,,,,,,traffic_sign
A17,Lapsia,A17.svg,,,,152,Lapsia,,traffic_sign
A18,Pyöräilijöitä,A18.svg,,,,153,Pyöräilijöitä,,traffic_sign
A19,Hiihtolatu,A19.svg,,,,154,Hiihtolatu,,traffic_sign
A20.1,Hirvi,A20.1.svg,,,,155,Hirvieläimiä,,traffic_sign
A20.2,Poro,A20.2.svg,,,,156,Poroja,,traffic_sign
A20.3,Kauriseläin,A20.3.svg,,,,,,,traffic_sign
A2.1,"Mutkia , joista ensimmäinen oikealle",A2.1.svg,,,,113,"Mutkia, joista ensimmäinen oikealle",,traffic_sign
A21,Tienristeys,A21.svg,,,,161,Tienristeys,,traffic_sign
A2.2,"Mutkia, joista ensimmäinen vasemmalle",A2.2.svg,,,,114,"Mutkia, joista ensimmäinen vasemmalle",,traffic_sign
A22.1,Sivutien risteys molemmin puolin,A22.1.svg,,,,162,Sivutien risteys,,traffic_sign
A22.2,Sivutien risteys molemmin puolin porrastetusti,A22.2.svg,,,,1622,-,,traffic_sign
A22.2_2,Sivutien risteys molemmin puolin porrastetusti,A22.2_2.svg,,,,1623,,,traffic_sign
A22.3,Sivutien risteys vasemmalla,A22.3.svg,,,,1631,Sivutien risteys,,traffic_sign
A22.3_2,Sivutien risteys oikealla,A22.3_2.svg,,,,1632,,,traffic_sign
A22.4,Sivutien risteys takaoikealla,A22.4.svg,,,,1641,Sivutien risteys,,traffic_sign
A22.4_2,Sivutien risteys takavasemmalla,A22.4_2.svg,,,,1642,,,traffic_sign
A22.4_3,Sivutien risteys oikealla viistoon,A22.4_3.svg,,,,,,,traffic_sign
A22.4_4,Sivutien risteys vasemmalla viistoon,A22.4_4.svg,,,,,,,traffic_sign
A23,Liikennevalot,A23.svg,,,,165,Liikennevalot,,traffic_sign
