MerkkiKoodi;Kuvaus
1;Kiinteä punainen valo
2;Kiinteä vihreä valo
3;Kiinteä keltainen valo
4;Nuolivalo
5;Vilkkuva punainen valo
6;Vilkkuva valkoinen valo
7;Vilkkuva keltainen valo
8;Joukkoliikenneopastin
9;Polkupyöräopastin
10;Jalankulkijaopastin
11;Ajokaistaopastin
A1.1;Mutka, oikea
A1.2;Mutka, vasen
A2.1;Mutkia , oikealle
A2.2;Mutkia , vasemmalle
A3.1;Jyrkkä mäki
A3.2;Jyrkkä mäki
A4;Kapeneva tie
A5;Kaksisuuntainen liikenne
A6;Avattava silta
A7;Lautta, laituri tai ranta
A8;Liikenneruuhka
A9;Epätasainen tie
A10;Töyssyjä
A11;Tietyö
A12;Irtokiviä
A13;Liukas ajorata
A14;Vaarallinen tien reuna
A15;Suojatien ennakkovaroitus
A16;Jalankulkijoita
A17;Lapsia
A18;Pyöräilijöitä
A19;Hiihtolatu
A20.1;Hirvi
A20.2;Poro
A20.3;Kauriseläin
A21;Tienristeys
A22.1;Sivutien risteys, x
A22.2;Sivutien risteys, y
A22.3;Sivutien risteys, z
A22.4;Sivutien risteys, v
A23;Liikennevalot
A24;Liikenneympyrä
A25;Raitiovaunu
A26;Rautatien tasoristeys ilman puomeja
A27;Rautatien tasoristeys, jossa on puomit
A28.1;Rautatien tasoristeyksen lähestymismerkit, x
A28.2;Rautatien tasoristeyksen lähestymismerkit, y
A28.3 ;Rautatien tasoristeyksen lähestymismerkit, z
A29.1;Tasoristeys
A29.2;Tasoristeys
A30;Putoavia kiviä
A31;Matalalla lentäviä lentokoneita
A32;Sivutuuli
A33;Muu vaara
B1;Etuajo-oikeutettu tie
B2;Etuajo-oikeuden päättyminen
B3;Etuajo-oikeus kohdattaessa
B4;Väistämisvelvollisuus kohdattaessa
B5;Väistämisvelvollisuus risteyksessä
B6;Pakollinen pysäyttäminen
B7;Väistämisvelvollisuus pyöräilijän tienylityspaikassa
C1;Ajoneuvolla ajo kielletty
C2;Moottorikäyttöisellä ajoneuvolla ajo kielletty
C3;Kuorma- ja pakettiautolla ajo kielletty
C4;Ajoneuvoyhdistelmällä ajo kielletty
C5;Traktorilla ajo kielletty
C6;Moottoripyörällä ajo kielletty
C7;Moottorikelkalla ajo kielletty
C8;Vaarallisten aineiden kuljetus kielletty
C9;Linja-autolla ajo kielletty
C10;Mopolla ajo kielletty
